TC#064,Daily Reports,others,FIRST 100 TXN FOR INCOMING ARP
TC#065,Daily Reports,others,REPORT OF FIRST 20 TXNS
TC#066,Daily Reports,others,STMT OF FULL CAN/RESTOR TRN
TC#067,Daily Reports,others,GO-INDIA CARD STMT
TC#068,Daily Reports,others,STMT OF INET TXNS
TC#069,Daily Reports,others,DAILY REPORT OF LOGIN & LOGOUT
TC#070,Daily Reports,others,STMT OF PARA MILITARY VOUCHERS
TC#071,Daily Reports,others,PERSONAL CASH REPORT
TC#072,Daily Reports,others,PENDING AMOUNT COLL. STMT
TC#073,Daily Reports,others,COACHING REFUND REPORT
TC#074,Daily Reports,others,DAILY SUMMARY OF RTSA TXNS (WHO HAVE GIVEN RTSA_TXN=Y)
TC#075,Daily Reports,others,YTSK ACCOUNT BALANCE
TC#076,Daily Reports,others,SERV TAX STMT FOR LOCN(BIFURCATED)
TC#077,Daily Reports,others,CONTINUITY STATEMENT
TC#078,Daily Reports,others,STATEMENT OF SETTING / RESETTING OF TRAIN STATUS
TC#079,Daily Reports,others,EXCEPTIONAL STMT OF TRN STATUS
TC#080,Daily Reports,others,STMT OF WAITLIST EXTN
TC#081,Daily Reports,others,STATEMENT OF YTSK TRANSACTIONS
TC#082,Daily Reports,others,STMT OF YTSK DEPOSITS
TC#083,Daily Reports,others,HOURLY SUMM. OF TXN(AFT 20.00)
TC#084,Daily Reports,others,HOURLY SUMM. OF TXN(BEF 08.00)
TC#085,Daily Reports,others,HOURLY TATKAL TXN COUNTS
TC#086,Daily Reports,others,HOURLY SUMM. OF TXN(NORMAL HRS)
TC#087,Daily Reports,others,TIMEBASED TRANSACN DTL
TC#088,Daily Reports,others,TIME BASED TRANSACTION DETAILS (AROUND 8HRS AND 10HRS)
TC#089,Daily Reports,others,TICKETS ISSUED FOR CURRENT BOOKNIG TRANSACTIONS
TC#090,Daily Reports,others,STATEMENT OF DEFENCE TICKET PRINTING
TC#091,Daily Reports,others,STATEMENT OF ABCD OBHS BOOKINGS
TC#092,Daily Reports,others,STATEMENT OF WITHDRAWLS FOR YTSK
TC#093,Daily Reports,overseas,MAITREE TRAIN BOOKING LOCATION WISE CANCELLATION REPORT
TC#094,Daily Reports,overseas,MAITREE TRAIN BOOKING LOCATION WISE BOOKING REPORT
TC#095,Daily Reports,overseas,MAITREE TRAIN DAILY SUMMARY REPORT BASED
TC#096,Daily Reports,overseas,BANDHAN TRAIN BOOKING LOCATION WISE CANCELLATION REPORT
TC#097,Daily Reports,overseas,BANDHAN TRAIN BOOKING LOCATION WISE BOOKING REPORT
TC#098,Daily Reports,overseas,BANDHAN TRAIN DAILY SUMMARY REPORT
